1N3045A       DIODE,ZENER 110V <2W
1N3046        DIODE,ZENER 120V <2W
1N3046A       DIODE,ZENER 120V <2W
1N3046B       DIODE,ZENER 120V <2W
1N3047        DIODE,ZENER 130V <2W
1N3047A       DIODE,ZENER 130V <2W
1N3047B       DIODE,ZENER 130V <2W
1N3048        DIODE,ZENER 150V <2W
1N3048A       DIODE,ZENER 150V <2W
1N3049        DIODE,ZENER 160V <2W
1N3049B       DIODE,ZENER 160V <2W
1N3050        DIODE,ZENER 180V <2W
1N3050B       DIODE,ZENER 180V <2W
1N3051        DIODE,ZENER 200V <2W
1N3051A       DIODE,ZENER 200V <2W
1N3064        DIODE,SI SIGNAL/SWITCHING <100V <30MA VERY-FAST(TRR<100NS)
1N3070        DIODE,SI RECTIFIER <400V <.3A VERY-FAST(TRR<100NS)
1N3595        DIODE,SI SIGNAL/SWITCHING <200V <300MA
1N3600        DIODE,SI SIGNAL/SWITCHING <100V <30MA VERY-FAST(TRR<100NS)
1N3612        DIODE,SI RECTIFIER <600V <3A
1N3670A       DIODE,SI RECTIFIER <800V <30A
1N3671A       DIODE,SI RECTIFIER <1KV <30A
1N3672A       DIODE,SI RECTIFIER <1KV <30A
1N3673A       DIODE,SI RECTIFIER <2KV <30A
1N3766        DIODE,SI RECTIFIER <1KV <100A
1N3767        DIODE,SI RECTIFIER <1KV <100A
1N3768        DIODE,SI RECTIFIER <2KV <100A
1N3821        DIODE,ZENER 3.3V <2W
1N3822        DIODE,ZENER 3.6V <2W
1N3822AJAN    DIODE,ZENER 3.6V <2W
1N3823        DIODE,ZENER 3.9V <2W
1N3824        DIODE,ZENER 4.3V <2W
1N3824AJAN    DIODE,ZENER 4.3V <2W
1N3825        DIODE,ZENER 4.7V <2W
1N3826        DIODE,ZENER 5.1V <2W
1N3827        DIODE,ZENER 5.6V <2W
1N3828        DIODE,ZENER 6.2V <2W
1N3829        DIODE,ZENER 6.8V <2W
1N3829A       DIODE,ZENER 6.8V <2W
1N3830        DIODE,ZENER 7.5V <2W
1N3879        DIODE,SI RECTIFIER <100V <10A FAST(TRR<1US)
1N3880        DIODE,SI RECTIFIER <200V <10A FAST(TRR<1US)
1N3881        DIODE,SI RECTIFIER <400V <10A FAST(TRR<1US)
1N3883        DIODE,SI RECTIFIER <600V <10A FAST(TRR<1US)
1N3889        DIODE,SI RECTIFIER <100V <30A FAST(TRR<1US)
1N3890        DIODE,SI RECTIFIER <200V <30A FAST(TRR<1US)
1N3891        DIODE,SI RECTIFIER <400V <30A FAST(TRR<1US)
1N3892        DIODE,SI RECTIFIER <400V <30A FAST(TRR<1US)
1N3893        DIODE,SI RECTIFIER <600V <30A FAST(TRR<1US)
1N3899        DIODE,SI RECTIFIER <100V <30A FAST(TRR<1US)
1N3900        DIODE,SI RECTIFIER <200V <30A FAST(TRR<1US)
1N3901        DIODE,SI RECTIFIER <400V <30A FAST(TRR<1US)
1N3902        DIODE,SI RECTIFIER <400V <30A FAST(TRR<1US)
1N3903        DIODE,SI RECTIFIER <600V <30A FAST(TRR<1US)
1N3909        DIODE,SI RECTIFIER <100V <100A FAST(TRR<1US)
1N3910        DIODE,SI RECTIFIER <200V <100A FAST(TRR<1US)
1N3911        DIODE,SI RECTIFIER <400V <100A FAST(TRR<1US)
1N3912        DIODE,SI RECTIFIER <400V <100A FAST(TRR<1US)
1N3913        DIODE,SI RECTIFIER <600V <100A FAST(TRR<1US)
1N3993        DIODE,ZENER 3.9V <20W
1N3994        DIODE,ZENER 4.3V <20W
1N3995        DIODE,ZENER 4.7V <20W
1N3996        DIODE,ZENER 5.1V <20W
1N3997        DIODE,ZENER 5.6V <20W
1N3997A       DIODE,ZENER 5.6V <20W
1N3998        DIODE,ZENER 6.2V <20W
1N3999        DIODE,ZENER 6.8V <20W
1N3999A       DIODE,ZENER 6.8V <20W
1N4000        DIODE,ZENER 7.5V <20W
1N4001        DIODE,SI RECTIFIER <100V <3A
1N4002        DIODE,SI RECTIFIER <200V <3A
1N4003        DIODE,SI RECTIFIER <400V <3A
1N4004        DIODE,SI RECTIFIER <600V <3A
1N4005        DIODE,SI RECTIFIER <800V <3A
1N4006        DIODE,SI RECTIFIER <1KV <3A
1N4007        DIODE,SI RECTIFIER <2KV <3A
1N4009        DIODE,SI SIGNAL/SWITCHING <100V <100MA VERY-FAST(TRR<100NS)
1N4107        DIODE,ZENER 13V <1W
1N4119        DIODE,ZENER 27V <1W
1N4148        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4148_1JTX   DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4149        DIODE,SI SIGNAL/SWITCHING <200V <300MA VERY-FAST(TRR<100NS)
1N4150        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4150_1JAN   DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4150_1JTX   DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4151        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4152        DIODE,SI SIGNAL/SWITCHING <50V <300MA VERY-FAST(TRR<100NS)
1N4153        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4154        DIODE,SI SIGNAL/SWITCHING <50V <100MA VERY-FAST(TRR<100NS)
1N4307        DIODE,SI SIGNAL/SWITCHING QUAD <100V <100MA VERY-FAST(TRR<100NS)
1N4371A       DIODE,ZENER 2.7V <1W
1N4372A       DIODE,ZENER 3.0V <1W
1N4376        DIODE,SI SIGNAL/SWITCHING <20V <100MA
1N4444        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4446        DIODE,SI SIGNAL/SWITCHING <200V <300MA VERY-FAST(TRR<100NS)
